#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-03 07:11:43
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-03 07:11:43 GET / - 74.85.209.172 HTTP/1.1 =Mozilla/5.0+(Windows;+U;+Windows+NT+6.1;+en-US)+AppleWebKit/534.16+(KHTML,+like+Gecko)+Chrome/10.0.648.204+Safari/534.16 - 200 34836 217
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-03 23:55:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-04 03:36:48 GET /fonts/fontawesome-webfont.woff2 - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 400
2017-03-04 03:36:51 GET /images/team3.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 843003 295
2017-03-04 03:36:51 GET /fonts/fontawesome-webfont.woff - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 399
2017-03-04 03:36:51 GET /css/images/cd-top-arrow.svg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/css/style.css 404 1405 319
2017-03-04 03:36:51 GET /images/team4.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 957546 295
2017-03-04 03:36:52 GET /fonts/fontawesome-webfont.ttf - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 200 152629 403
2017-03-04 03:36:52 GET /images/work-img2.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 1001601 299
2017-03-04 03:36:53 GET /images/banner1.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 553071 297
2017-03-04 03:36:53 GET /images/info.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/css/style.css 200 729150 307
2017-03-04 03:36:54 GET /images/work-img3.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 943143 299
2017-03-04 03:36:56 GET /images/work-img5.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 869467 299
2017-03-04 03:36:56 GET /images/work-img1.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 889310 299
2017-03-04 03:36:57 GET /images/work-img7.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 1067450 299
2017-03-04 03:36:57 GET /images/work-img6.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 1093416 299
2017-03-04 03:36:59 GET /images/work-img10.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 968132 300
2017-03-04 03:36:59 GET /images/work-img8.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 915658 299
2017-03-04 03:36:59 GET /images/team1.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 982372 295
2017-03-04 03:37:00 GET /images/banner2.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 46855 297
2017-03-04 03:37:00 GET /images/work-img11.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 891396 300
2017-03-04 03:37:00 GET /images/xtra_logo.png - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 26596 299
2017-03-04 03:37:00 GET /images/team2.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 920251 295
2017-03-04 03:37:00 GET /images/work-img12.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 961465 300
2017-03-04 03:37:01 GET /images/work-img4.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 946466 299
2017-03-04 03:37:02 GET /images/work-img9.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 1018615 299
2017-03-04 03:37:02 GET /favicon.ico - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 - 404 1405 248
2017-03-04 03:37:02 GET /favicon.ico - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 - 404 1405 308
2017-03-04 03:37:08 GET /images/banner3.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 448536 297
2017-03-04 03:37:11 GET /images/banner4.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 747680 297
2017-03-04 03:37:15 GET /images/banner5.jpg - 125.237.90.26 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.kaiparatavern.co.nz/ 200 680331 297
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-04 06:54:41
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-04 06:54:41 GET / - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://yandex.ru/clck/jsredir?from=yandex.ru%3Bsearch%3Bweb%3B%3B&text=&etext=1350.GDjoGZE6GCdlraqAPM-mDyJUdIoPrumLcSaLSe6esn1Ovb1pATDtq6G6ClQr7nK0.d73dd99dadbf00842e902c0f3b6fe0b154a425db&uuid=&state=_BLhILn4SxNIvvL0W45KSic66uCIg23qh8iRG98qeIXmeppkgUc0YGv9iZwKiy-E54GYiollMFA&data=UlNrNmk5WktYejR0eWJFYk1LdmtxczE1ZlI4Vk5QNGs4MDc4MVo1TWs2RXhQdEFpaVFhMlQwcXhrQnFxR01sdWNXSTl4LTg3emdfcjV5TkxRYlBCY05zNDBvbVhMSnpReEoxM28ybXUzRFgwODVaQVM2WmRZdw&b64e=2&sign=8af389f104306e0414f32fb9be01aa07&keyno=0&cst=AiuY0DBWFJ7IXge4WdYJQULnoVAFacUfBshqmPFVVo_wF6ZTTkc_aqoIwuPFA8JIukofFuZoVx_uS_-1VRrY1pPc6jBT-ZQ6n1-3hkEJrVQUU-IRDQQOK3csd3qfZZ5qIoa55Z_CLoOncIsmCW159XAsMQBhtTKh&ref=orjY4mGPRjk5boDnW0uvlrrd71vZw9kp5uQozpMtKCW8s5kfnNkNjzxlP3M9OM4ASxsmzSwbp7xwfP3Xz8O-c11L0jn-CbvwEMKwbvWEWe61SLF2AyrGLmWMLFWBnDHl&l10n=ru&cts=1488607475157&mc=3.49959058035 200 34855 1089
2017-03-04 06:54:44 GET /css/font-awesome.min.css - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 29198 310
