#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-29 07:09:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-29 07:09:27 GET / - 51.15.138.248 HTTP/1.0 Mozilla/5.0+(Windows+NT+10.0;+rv:61.0)+Gecko/20100101+Firefox/61.0 - 200 34855 260
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-29 08:26:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-29 08:26:54 GET / - 180.76.15.33 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 8228 225
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-29 08:43:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-29 08:43:36 GET /images/logo.png - 49.224.222.129 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G930F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 9464 388
2018-06-29 08:43:37 GET /fonts/fontawesome-webfont.woff - 49.224.222.129 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G930F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 450
2018-06-29 08:43:38 GET /images/team3.jpg - 49.224.222.129 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G930F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 843003 389
2018-06-29 08:43:38 GET /images/team2.jpg - 49.224.222.129 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G930F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 920251 389
2018-06-29 08:43:38 GET /images/team4.jpg - 49.224.222.129 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G930F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 957546 389
2018-06-29 08:43:38 GET /images/team1.jpg - 49.224.222.129 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G930F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 982372 389
2018-06-29 08:43:38 GET /images/work-img1.jpg - 49.224.222.129 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G930F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 889310 393
2018-06-29 08:43:40 GET /images/banner1.jpg - 49.224.222.129 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G930F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 553071 391
2018-06-29 08:43:40 GET /fonts/fontawesome-webfont.ttf - 49.224.222.129 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G930F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 200 152629 449
2018-06-29 08:43:40 GET /images/banner2.jpg - 49.224.222.129 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G930F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 46855 391
