#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-14 07:57:37
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-14 07:57:36 POST /index.php - 121.61.4.24 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/index.php?m=member&c=index&a=register&siteid=1 404 1405 548
2017-06-15 06:50:25 GET /css/jQuery.lightninBox.css - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1481 403
2017-06-15 06:50:25 GET /css/team.css - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1027 389
2017-06-15 06:50:25 GET /css/font-awesome.min.css - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 8118 401
2017-06-15 06:50:25 GET /js/modernizr.custom.js - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 4923 384
2017-06-15 06:50:26 GET /css/style.css - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 11722 390
2017-06-15 06:50:26 GET /css/bootstrap.min.css - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 27990 398
2017-06-15 06:50:26 GET /js/main.js - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 871 372
2017-06-15 06:50:26 GET /js/cbpFWTabs.js - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1208 377
2017-06-15 06:50:26 GET /js/SmoothScroll.min.js - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 3749 384
2017-06-15 06:50:26 GET /js/jQuery.lightninBox.js - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 3081 386
2017-06-15 06:50:26 GET /js/bootstrap.min.js - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 13266 381
