#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-26 07:30:41
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-26 07:30:40 GET /robots.txt - 46.229.164.100 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
2017-09-26 23:15:23 GET /css/bootstrap.min.css - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 27990 405
2017-09-26 23:15:23 GET /css/font-awesome.min.css - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 8118 408
2017-09-26 23:15:23 GET /js/modernizr.custom.js - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 4923 391
2017-09-26 23:15:23 GET /css/style.css - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 11722 397
2017-09-26 23:15:25 GET /js/jquery.min.js - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 43185 385
2017-09-26 23:15:25 GET /js/cbpFWTabs.js - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1208 384
2017-09-26 23:15:25 GET /js/main.js - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 871 379
2017-09-26 23:15:25 GET /js/SmoothScroll.min.js - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 3749 391
2017-09-26 23:15:25 GET /js/jQuery.lightninBox.js - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 3081 393
2017-09-26 23:15:25 GET /js/bootstrap.min.js - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 13266 388
2017-09-26 23:15:25 GET /js/boot_slider.js - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 2045 386
2017-09-26 23:15:25 GET /images/logo.png - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 9464 420
2017-09-26 23:15:26 GET /images/team2.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 920251 421
