#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-15 07:19:15
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-15 07:19:15 GET / - 66.249.79.48 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-15 07:59:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-15 07:59:27 GET /images/team3.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 843003 394
2018-06-15 07:59:27 GET /fonts/fontawesome-webfont.ttf - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 200 152629 443
2018-06-15 07:59:27 GET /images/team4.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 957546 394
2018-06-15 07:59:27 GET /images/banner1.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 553071 396
2018-06-15 07:59:28 GET /images/banner2.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 46855 396
2018-06-15 07:59:28 GET /images/work-img2.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1001601 398
2018-06-15 07:59:28 GET /images/work-img3.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 943143 398
2018-06-15 07:59:29 GET /images/work-img4.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 946466 398
2018-06-15 07:59:31 GET /images/work-img5.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 869467 398
2018-06-15 07:59:31 GET /images/work-img6.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1093416 398
2018-06-15 07:59:31 GET /images/work-img1.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 889310 398
2018-06-15 07:59:33 GET /images/work-img7.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1067450 398
2018-06-15 07:59:33 GET /images/work-img8.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 915658 398
2018-06-15 07:59:33 GET /images/info.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 200 729150 406
2018-06-15 07:59:36 GET /images/work-img11.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 891396 399
2018-06-15 07:59:36 GET /images/xtra_logo.png - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 26596 398
2018-06-15 07:59:36 GET /images/work-img12.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 961465 399
2018-06-15 07:59:38 GET /images/banner3.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 448536 396
2018-06-15 07:59:38 GET /images/work-img9.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1018615 398
2018-06-15 07:59:40 GET /images/banner4.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 747680 396
2018-06-15 07:59:41 GET /images/team1.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 982372 394
2018-06-15 07:59:41 GET /images/banner5.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 680331 396
2018-06-15 07:59:43 GET /images/work-img10.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 968132 399
2018-06-15 07:59:45 GET /images/team2.jpg - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 920251 394
2018-06-15 07:59:45 GET /favicon.ico - 121.74.193.144 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.kaiparatavern.co.nz/ 404 1405 389
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-15 08:21:01
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-15 08:21:00 HEAD /data/admin/ver.txt - 1.197.240.101 HTTP/1.1 - - 404 160 88
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-15 10:32:07
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-15 10:32:07 GET / - 203.184.57.14 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SAMSUNG+SM-G930U+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/5.0+Chrome/51.0.2704.106+Mobile+Safari/537.36 https://www.google.com/ 200 34836 457
2018-06-15 10:32:07 GET /css/jQuery.lightninBox.css - 203.184.57.14 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SAMSUNG+SM-G930U+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/5.0+Chrome/51.0.2704.106+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 5227 405
2018-06-15 10:32:07 GET /css/team.css - 203.184.57.14 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SAMSUNG+SM-G930U+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/5.0+Chrome/51.0.2704.106+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 3537 391
2018-06-15 10:32:07 GET /js/modernizr.custom.js - 203.184.57.14 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SAMSUNG+SM-G930U+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/5.0+Chrome/51.0.2704.106+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 8758 386
2018-06-15 10:32:07 GET /js/SmoothScroll.min.js - 203.184.57.14 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SAMSUNG+SM-G930U+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/5.0+Chrome/51.0.2704.106+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 6852 386
