#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 10:08:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 10:08:33 GET / - 13.56.229.65 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_12_6)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.100+Safari/537.36 - 200 34836 207
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 17:22:05
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 19:58:03 GET /css/images/cd-top-arrow.svg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 404 1405 442
2017-12-10 19:58:03 GET /js/boot_slider.js - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 5146 383
2017-12-10 19:58:03 GET /images/logo.png - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 9464 417
2017-12-10 19:58:03 GET /js/jquery.min.js - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 96256 382
2017-12-10 19:58:03 GET /fonts/fontawesome-webfont.woff - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 468
2017-12-10 19:58:04 GET /images/team1.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 982372 418
2017-12-10 19:58:04 GET /fonts/fontawesome-webfont.ttf - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 200 152629 467
2017-12-10 19:58:04 GET /images/team4.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 957546 418
2017-12-10 19:58:04 GET /images/work-img1.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 889310 422
2017-12-10 19:58:06 GET /images/work-img2.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1001601 422
2017-12-10 19:58:06 GET /images/team3.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 843003 418
2017-12-10 19:58:06 GET /images/work-img3.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 943143 422
2017-12-10 19:58:06 GET /images/banner1.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 553071 420
2017-12-10 19:58:06 GET /images/work-img4.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 946466 422
2017-12-10 19:58:06 GET /images/work-img7.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1067450 422
2017-12-10 19:58:06 GET /images/work-img9.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1018615 422
2017-12-10 19:58:06 GET /images/banner2.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 46855 420
2017-12-10 19:58:07 GET /images/team2.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 920251 418
2017-12-10 19:58:07 GET /images/work-img10.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 968132 423
2017-12-10 19:58:07 GET /images/work-img8.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 915658 422
2017-12-10 19:58:07 GET /images/work-img11.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 891396 423
2017-12-10 19:58:07 GET /images/xtra_logo.png - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 26596 422
2017-12-10 19:58:07 GET /images/info.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 200 729150 430
2017-12-10 19:58:08 GET /images/work-img5.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 869467 422
2017-12-10 19:58:08 GET /images/work-img12.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 961465 423
2017-12-10 19:58:10 GET /images/work-img6.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1093416 422
2017-12-10 19:58:10 GET /images/banner3.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 448536 420
2017-12-10 19:58:10 GET /favicon.ico - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 404 1405 413
2017-12-10 19:58:17 GET /images/banner4.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 747680 420
2017-12-10 19:58:18 GET /images/banner5.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 680331 420
2017-12-10 20:00:10 GET /img/loader.gif - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 404 1405 416
2017-12-10 20:00:12 GET /images/1.jpg - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 265130 414
2017-12-10 20:00:12 GET /images/close.png - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/css/jQuery.lightninBox.css 200 4216 444
2017-12-10 20:00:12 GET /images/prev.png - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/css/jQuery.lightninBox.css 200 3523 443
2017-12-10 20:00:13 GET /images/next.png - 202.36.181.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/63.0.3239.84+Safari/537.36 http://www.kaiparatavern.co.nz/css/jQuery.lightninBox.css 200 3520 443
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 20:16:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 20:16:22 HEAD /upfiles/person/nophoto.gif - 180.97.215.145 HTTP/1.1 - - 404 160 96
2017-12-10 20:27:57 GET /robots.txt - 5.196.87.20 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - 404 1405 184
2017-12-10 20:28:00 GET /images/2.jpg - 51.255.65.75 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - 200 585652 186
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-11 00:40:05
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-11 00:40:05 GET / - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 https://www.google.co.nz/ 200 8209 414
2017-12-11 00:40:05 GET /css/font-awesome.min.css - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 8118 347
2017-12-11 00:40:05 GET /css/jQuery.lightninBox.css - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1481 349
2017-12-11 00:40:05 GET /css/team.css - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1027 335
2017-12-11 00:40:05 GET /js/modernizr.custom.js - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 4923 330
2017-12-11 00:40:06 GET /css/style.css - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 11722 336
2017-12-11 00:40:06 GET /css/bootstrap.min.css - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 27990 344
2017-12-11 00:40:06 GET /js/bootstrap.min.js - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 13266 327
2017-12-11 00:40:06 GET /js/cbpFWTabs.js - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1208 323
2017-12-11 00:40:06 GET /js/main.js - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 871 318
2017-12-11 00:40:06 GET /js/jquery.min.js - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 43185 324
2017-12-11 00:40:06 GET /js/boot_slider.js - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 2045 325
2017-12-11 00:40:06 GET /js/SmoothScroll.min.js - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 3749 330
2017-12-11 00:40:06 GET /js/jQuery.lightninBox.js - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 3081 332
2017-12-11 00:40:07 GET /images/logo.png - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 9464 359
2017-12-11 00:40:07 GET /fonts/fontawesome-webfont.woff2 - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 411
2017-12-11 00:40:07 GET /css/images/cd-top-arrow.svg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 404 1405 384
