#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-09-06 08:41:26
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-09-06 08:41:26 GET / - 66.249.79.48 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-09-06 09:32:13
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-09-06 09:32:13 GET / - 222.152.174.161 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G955F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.91+Mobile+Safari/537.36 http://www.google.com/ 200 8209 455
2018-09-06 09:32:13 GET /css/jQuery.lightninBox.css - 222.152.174.161 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G955F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.91+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1481 393
2018-09-06 09:32:13 GET /css/font-awesome.min.css - 222.152.174.161 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G955F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.91+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 8118 391
2018-09-06 09:32:13 GET /css/team.css - 222.152.174.161 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G955F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.91+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1027 379
2018-09-06 09:32:13 GET /images/logo.png - 222.152.174.161 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G955F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.91+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 9464 403
2018-09-06 09:32:13 GET /js/modernizr.custom.js - 222.152.174.161 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G955F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.91+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 4923 374
