#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-01 10:20:25
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-01 15:00:02 POST /sitemap/templates/met/SqlIn.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/sitemap/templates/met/SqlIn.asp 404 1405 1138
2018-06-01 15:00:02 POST /plus/mybak.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mybak.php 404 1405 654
2018-06-01 15:00:02 POST /plus/x.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/x.php 404 1405 642
2018-06-01 15:00:04 POST /plus/service.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/service.php 404 1405 657
2018-06-01 15:00:05 POST /plus/av.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/av.php 404 1405 646
2018-06-01 15:00:08 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=511348 404 1405 683
2018-06-01 15:00:08 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=511348 404 1405 1137
2018-06-01 15:00:08 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=511348 404 1405 686
2018-06-01 15:00:09 POST /lang/cn/system.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/lang/cn/system.php 404 1405 664
2018-06-01 15:00:09 POST /config/AspCms_Config.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/config/AspCms_Config.asp 404 1405 1126
2018-06-01 15:00:09 POST /admin_login.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/admin_login.php 404 1405 309
