#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-28 09:34:16
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-28 09:34:15 GET /wp-login.php - 192.187.98.86 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+125LA;+.NET+CLR+2.0.50727;+.NET+CLR+3.0.04506.648;+.NET+CLR+3.5.21022) http://kaiparatavern.co.nz/wp-login.php 404 1405 353
2017-06-29 02:45:07 GET /fonts.googleapis.com/css - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 381
2017-06-29 02:45:09 HEAD / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 249 340
2017-06-29 02:45:11 GET / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
2017-06-29 02:45:11 HEAD / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 249 340
2017-06-29 02:45:12 GET / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
2017-06-29 02:45:13 HEAD / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 249 340
2017-06-29 02:45:14 GET / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
2017-06-29 02:45:15 HEAD / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 249 340
2017-06-29 02:45:15 GET / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
2017-06-29 02:45:17 HEAD / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 249 340
2017-06-29 02:45:20 GET / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
2017-06-29 02:45:20 HEAD / - 183.13.177.229 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 249 340
2017-06-29 02:45:24 GET / - 183.13.177.229 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
2017-06-29 02:45:24 HEAD / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 249 340
2017-06-29 02:45:27 GET / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
2017-06-29 02:45:27 HEAD / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 249 340
2017-06-29 02:45:28 GET / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
2017-06-29 02:45:28 HEAD / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 249 340
2017-06-29 02:45:31 GET / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
2017-06-29 02:45:45 GET / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
2017-06-29 02:45:46 HEAD /mailto:email@example.com - 183.13.177.229 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 160 364
2017-06-29 02:45:56 GET /mailto:email@example.com - 183.13.177.229 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 363
2017-06-29 02:45:56 HEAD / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 249 340
2017-06-29 02:45:58 GET / - 183.13.171.36 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 200 34836 339
