#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-12 07:33:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-12 07:33:17 GET / - 184.94.240.92 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 - 200 34855 182
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-12 08:09:24
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-12 08:09:29 GET /images/team3.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 843003 373
2019-02-12 08:09:29 GET /images/work-img1.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 889310 377
2019-02-12 08:09:29 GET /images/team2.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 920251 373
2019-02-12 08:09:29 GET /images/banner1.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 553071 375
2019-02-12 08:09:30 GET /images/team4.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 957546 373
2019-02-12 08:09:32 GET /fonts/fontawesome-webfont.woff - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 423
2019-02-12 08:09:35 GET /images/banner2.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 46855 375
2019-02-12 08:09:35 GET /fonts/fontawesome-webfont.ttf - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 200 152629 422
2019-02-12 08:09:36 GET /images/banner3.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 448536 375
2019-02-12 08:09:37 GET /images/work-img2.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1001601 377
2019-02-12 08:09:37 GET /images/work-img3.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 943143 377
2019-02-12 08:09:38 GET /images/banner4.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 747680 375
2019-02-12 08:09:38 GET /images/work-img4.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 946466 377
2019-02-12 08:09:39 GET /images/work-img5.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 869467 377
2019-02-12 08:09:40 GET /images/work-img6.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1093416 377
2019-02-12 08:09:41 GET /images/work-img7.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1067450 377
2019-02-12 08:09:42 GET /images/banner5.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 680331 375
