#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 09:08:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-30 09:08:17 GET / - 42.236.54.2 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://kaiparatavern.co.nz/ 200 0 319
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 12:15:26
2018-07-30 12:16:13 POST /plus/bakup.hp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/bakup.hp 404 1405 649
2018-07-30 12:16:14 POST /plus/bakup.hp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/bakup.hp 404 1405 1103
2018-07-30 12:16:16 POST /plus/bakup.hp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/bakup.hp 404 1405 652
2018-07-30 12:16:16 POST /include/code/mp.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/include/code/mp.php 404 1405 661
2018-07-30 12:16:17 POST /plus/laobiao.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/laobiao.php 404 1405 654
2018-07-30 12:16:18 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=6022 404 1405 674
2018-07-30 12:16:18 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=6022 404 1405 1128
2018-07-30 12:16:19 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=6022 404 1405 331
2018-07-30 12:16:21 POST /book/story_dod_hjkdsafon.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/book/story_dod_hjkdsafon.php 404 1405 678
2018-07-30 12:16:21 POST /data/s.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/data/s.asp 404 1405 1098
2018-07-30 12:16:22 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9527 404 1405 679
2018-07-30 12:16:22 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9527 404 1405 1133
2018-07-30 12:16:23 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9527 404 1405 682
2018-07-30 12:16:23 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9191 404 1405 680
2018-07-30 12:16:24 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9191 404 1405 1134
2018-07-30 12:16:24 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9191 404 1405 683
2018-07-30 12:16:25 POST /install/md5.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/install/md5.php 404 1405 309
2018-07-30 12:16:27 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9999 404 1405 678
2018-07-30 12:16:27 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9999 404 1405 1132
2018-07-30 12:16:28 POST /plus/mytag_js.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9999 404 1405 681
2018-07-30 12:16:28 POST /base/admin/cache.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/base/admin/cache.asp 404 1405 1122
2018-07-30 12:16:30 POST /bbs/utility/convert/data/config.inc.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/bbs/utility/convert/data/config.inc.php 404 1405 705
2018-07-30 12:16:30 POST /plus/zdqd.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/zdqd.php 404 1405 653
2018-07-30 12:16:31 POST /templets/plus/sky.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/templets/plus/sky.php 404 1405 664
