#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-18 08:37:51
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-04-18 08:37:50 HEAD / - 118.193.203.247 HTTP/1.1 python-requests/2.10.0 - 200 295 155
2017-04-19 00:22:40 GET /css/font-awesome.min.css - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 8118 372
2017-04-19 00:22:41 GET /js/modernizr.custom.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 4923 355
2017-04-19 00:22:41 GET /js/jquery.min.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 43185 349
2017-04-19 00:22:41 GET /js/SmoothScroll.min.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 3749 355
2017-04-19 00:22:41 GET /css/bootstrap.min.css - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 27990 369
2017-04-19 00:22:41 GET /js/bootstrap.min.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 13266 352
2017-04-19 00:22:41 GET /js/main.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 871 343
2017-04-19 00:22:41 GET /js/jQuery.lightninBox.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 3081 357
2017-04-19 00:22:41 GET /js/cbpFWTabs.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 1208 348
2017-04-19 00:22:41 GET /js/boot_slider.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 2045 350
