#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 09:23:06
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 15:09:03 GET /css/images/cd-top-arrow.svg - 66.249.64.45 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://kaiparatavern.co.nz/css/style.css 404 1405 500
2019-05-13 15:09:04 GET /css/images/cd-top-arrow.svg - 66.249.64.41 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://kaiparatavern.co.nz/css/style.css 404 1405 500
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 18:05:13
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 18:05:13 GET / - 207.189.0.86 HTTP/1.0 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://kaiparatavern.co.nz/ 200 34855 314
2019-05-13 18:05:13 POST / - 207.189.0.86 HTTP/1.0 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://kaiparatavern.co.nz/ 405 1515 574
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 18:50:57
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 18:50:57 GET / - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 200 34836 194
2019-05-13 18:50:58 GET / - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://nzpiis001/mail/mail-in/financialintellunitooc.nsf/0/E6E4E8F26B2439212ADDB9D2BABE7E8E/?OpenDocument&Form=s_MailMemoReadBodyContent&PresetFields=s_NoMarkRead;0,s_HideRemoteImage;1,s_HideImages;0 200 6457 637
2019-05-13 18:50:59 GET /js/modernizr.custom.js - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 8758 483
2019-05-13 18:50:59 GET /css/team.css - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 200 3537 206
2019-05-13 18:50:59 GET /css/jQuery.lightninBox.css - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 200 5227 220
2019-05-13 18:50:59 GET /js/boot_slider.js - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 5146 478
2019-05-13 18:50:59 GET /js/main.js - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 1141 471
2019-05-13 18:50:59 GET /js/SmoothScroll.min.js - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 6852 483
2019-05-13 18:51:00 GET /js/cbpFWTabs.js - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 1962 476
2019-05-13 18:51:00 GET /css/font-awesome.min.css - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 200 29179 218
2019-05-13 18:51:00 GET /css/jQuery.lightninBox.css - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 1098 467
2019-05-13 18:51:00 GET /js/jQuery.lightninBox.js - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 11492 485
2019-05-13 18:51:00 GET /css/style.css - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 200 46677 207
2019-05-13 18:51:00 GET /css/bootstrap.min.css - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 200 121509 215
2019-05-13 18:51:00 GET /css/team.css - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 792 453
2019-05-13 18:51:00 GET /js/bootstrap.min.js - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 37132 480
2019-05-13 18:51:00 GET /css/font-awesome.min.css - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 6868 465
2019-05-13 18:51:01 GET /images/logo.png - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 9464 493
2019-05-13 18:51:01 GET /css/style.css - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 7911 454
2019-05-13 18:51:01 GET /js/jquery.min.js - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 96256 477
2019-05-13 18:51:01 GET /css/bootstrap.min.css - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 19926 462
2019-05-13 18:51:04 GET /fonts/fontawesome-webfont.eot - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 404 1405 224
2019-05-13 18:51:04 GET /images/team3.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 843003 494
2019-05-13 18:51:04 GET /images/work-img11.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 891396 499
