#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-06 14:08:57
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-06 22:17:34 GET /js/SmoothScroll.min.js - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 3749 334
2017-06-06 22:17:35 GET /js/cbpFWTabs.js - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 1208 327
2017-06-06 22:17:35 GET /js/boot_slider.js - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 2045 329
2017-06-06 22:17:35 GET /css/font-awesome.min.css - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 8118 316
2017-06-06 22:17:36 GET /js/modernizr.custom.js - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 4923 334
2017-06-06 22:17:38 GET /css/bootstrap.min.css - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 27990 313
2017-06-06 22:17:38 GET /js/main.js - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 871 322
2017-06-06 22:17:38 GET /css/style.css - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 11722 305
2017-06-06 22:17:39 GET /images/logo.png - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 9464 355
2017-06-06 22:17:42 GET /js/jQuery.lightninBox.js - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 3081 336
2017-06-06 22:17:43 GET /js/bootstrap.min.js - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 13266 331
2017-06-06 22:17:43 GET /fonts/fontawesome-webfont.eot - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 404 1405 352
2017-06-06 22:17:49 GET /css/images/cd-top-arrow.svg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 404 1405 367
2017-06-06 22:17:58 GET /js/jquery.min.js - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 43185 328
2017-06-06 22:18:00 GET /fonts/fontawesome-webfont.woff - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 404 1405 360
2017-06-06 22:19:23 GET /images/work-img3.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 943143 360
2017-06-06 22:19:23 GET /images/team4.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 957546 356
2017-06-06 22:19:40 GET /images/banner2.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 46855 358
2017-06-06 22:20:00 GET /images/team2.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 920251 356
2017-06-06 22:20:03 GET /images/team3.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 843003 356
2017-06-06 22:20:12 GET /images/work-img1.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 889310 360
