#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-29 09:04:03
2018-11-29 19:54:13 GET / - 66.249.66.202 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-29 22:25:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-29 22:25:54 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 206
2018-11-29 22:25:54 GET /robots.txt - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 202
2018-11-29 22:25:58 GET / - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 6457 284
2018-11-29 22:25:58 GET / - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 34836 288
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-29 23:38:12
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-29 23:38:12 GET /robots.txt - 54.165.90.203 HTTP/1.0 ia_archiver - 404 1424 128
2018-11-29 23:38:13 GET / - 54.165.90.203 HTTP/1.0 ia_archiver - 200 34855 118
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-30 00:52:44
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-30 00:52:43 GET /wp-login.php - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 404 1405 170
2018-11-30 00:52:58 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 167
2018-11-30 00:53:19 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 167
2018-11-30 00:53:32 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 167
2018-11-30 00:53:48 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 167
2018-11-30 00:54:04 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 167
2018-11-30 00:54:18 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 167
2018-11-30 00:54:31 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 167
2018-11-30 00:54:59 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 167
2018-11-30 00:55:18 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 167
2018-11-30 00:55:40 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 168
2018-11-30 00:55:52 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 168
2018-11-30 00:56:01 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 34836 168
2018-11-30 00:56:07 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 6457 168
2018-11-30 00:56:20 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 6457 168
2018-11-30 00:56:27 GET / - 115.230.124.103 HTTP/1.1 Apache-HttpClient/4.5.2+(Java/1.8.0_151) - 200 6457 168
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-30 01:27:15
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-30 01:27:14 GET /robots.txt - 66.249.66.147 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 233
2018-11-30 01:29:01 GET / - 66.249.66.147 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 296
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-30 02:08:41
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-30 02:08:41 GET /admin/images/cal_date_over.gif - 51.68.174.52 HTTP/1.1 python-requests/2.20.1 - 404 1405 180
2018-11-30 02:08:41 GET /admin/login.php - 51.68.174.52 HTTP/1.1 python-requests/2.20.1 - 404 1405 165
2018-11-30 02:08:42 GET /templates/system/css/system.css - 51.68.174.52 HTTP/1.1 python-requests/2.20.1 - 404 1405 181
2018-11-30 02:08:43 GET / - 51.68.174.52 HTTP/1.1 python-requests/2.20.1 - 200 34836 150
2018-11-30 02:08:44 GET /fckeditor/editor/filemanager/connectors/php/upload.php - 51.68.174.52 HTTP/1.1 python-requests/2.20.1 - 404 1405 215
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-30 03:06:35
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-30 03:06:35 GET / - 42.236.99.154 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://kaiparatavern.co.nz/ 200 34836 319
2018-11-30 03:06:52 GET / - 42.236.99.142 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://www.kaiparatavern.co.nz/ 200 34836 327
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-30 05:01:45
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-30 05:01:44 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 202
2018-11-30 05:01:46 GET /robots.txt - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 206
2018-11-30 05:01:49 GET / - 141.8.132.37 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 6457 288
2018-11-30 05:01:49 GET / - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 34836 284
2018-11-30 05:08:09 GET /wp-content/plugins/dzs-portfolio/admin/dzsuploader/upload.js - 209.90.225.115 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/42.0.2311.152+Safari/537.36 http://kaiparatavern.co.nz/wp-content/plugins/dzs-portfolio/admin/dzsuploader/upload.js 404 1424 483
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-30 05:32:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-30 05:32:56 GET /api/client/includes/init.php - 113.57.244.156 HTTP/1.1 - - 404 1405 97
2018-11-30 05:38:17 GET /robots.txt - 66.249.66.204 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
2018-11-30 05:41:17 GET / - 66.249.66.202 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-30 06:35:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-30 06:35:32 GET /robots.txt - 54.36.150.125 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - 404 1405 184
2018-11-30 06:35:33 GET / - 54.36.149.104 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - 200 34836 174
