#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-10 00:22:19
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-10 00:22:18 GET / - 180.76.15.163 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 8228 225
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-10 00:39:08
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-10 00:39:07 GET /robots.txt - 194.153.113.13 HTTP/1.1 Mozilla/5.0+(compatible;+oBot/2.3.1;+http://filterdb.iss.net/crawler/) - 404 1405 180
2017-06-10 00:39:09 GET / - 194.153.113.13 HTTP/1.1 Mozilla/5.0+(compatible;+oBot/2.3.1;+http://filterdb.iss.net/crawler/) - 200 34836 170
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-10 02:02:59
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-10 02:02:58 GET / - 49.224.71.110 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SAMSUNG+SM-A510Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/5.4+Chrome/51.0.2704.106+Mobile+Safari/537.36 https://www.google.co.nz/ 200 8209 497
2017-06-10 02:02:58 GET /js/modernizr.custom.js - 49.224.71.110 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SAMSUNG+SM-A510Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/5.4+Chrome/51.0.2704.106+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 4923 424
