#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-07 13:06:25
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-07 13:06:24 GET /oihfoe09fposf.php - 196.47.64.42 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.75+Safari/537.36 kaiparatavern.co.nz 404 1424 327
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-07 13:52:13
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-07 13:52:13 GET / - 185.104.184.114 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 http://kaiparatavern.co.nz/ 200 34855 313
2019-02-07 13:52:13 POST / - 185.104.184.114 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 http://kaiparatavern.co.nz/ 405 1515 555
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-07 19:05:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-07 19:05:26 GET /robots.txt - 66.249.64.104 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
2019-02-07 19:06:21 GET / - 66.249.64.106 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 34836 426
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-07 21:16:50
