#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-03 08:31:53
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-03 15:20:28 GET /fonts/fontawesome-webfont.ttf - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 152629 302
2018-05-03 15:20:34 GET / - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 - 200 6457 283
2018-05-03 15:20:34 GET /css/jQuery.lightninBox.css - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 1481 306
2018-05-03 15:20:34 GET /css/team.css - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 1027 292
2018-05-03 15:20:34 GET /css/font-awesome.min.css - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 8118 304
2018-05-03 15:20:34 GET /js/modernizr.custom.js - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 4923 287
2018-05-03 15:20:34 GET /css/bootstrap.min.css - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 27990 301
2018-05-03 15:20:34 GET /js/SmoothScroll.min.js - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 3749 287
2018-05-03 15:20:34 GET /css/style.css - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 11722 293
2018-05-03 15:20:34 GET /js/main.js - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 871 275
2018-05-03 15:20:34 GET /js/bootstrap.min.js - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 13266 284
2018-05-03 15:20:34 GET /js/boot_slider.js - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 2045 282
2018-05-03 15:20:34 GET /js/jQuery.lightninBox.js - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 3081 289
2018-05-03 15:20:34 GET /js/cbpFWTabs.js - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 1208 280
2018-05-03 15:20:35 GET /js/jquery.min.js - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 43185 281
2018-05-03 15:20:38 GET /fonts/fontawesome-webfont.woff - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 404 1405 303
2018-05-03 15:20:40 GET /fonts/fontawesome-webfont.ttf - 35.225.245.179 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:22.0)+Gecko/20100101+Firefox/22.0 http://www.kaiparatavern.co.nz/ 200 152629 302
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-03 16:56:34
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-03 16:56:33 GET /js/main.js - 180.76.15.12 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 890 235
2018-05-03 16:56:33 GET /js/ - 180.76.15.18 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 8317 215
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-03 20:34:01
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-03 20:34:01 GET / - 43.226.70.153 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz 200 34836 256
2018-05-03 20:34:01 POST /config/AspCms_Config.asp - 43.226.70.153 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/config/AspCms_Config.asp 404 1405 1124
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-03 23:46:14
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-03 23:46:14 GET / - 162.247.96.227 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz 200 34836 256
2018-05-03 23:46:14 POST /admin/index.asp - 162.247.96.227 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/admin/index.asp 404 1405 1106
2018-05-03 23:46:14 POST /index.asp - 162.247.96.227 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/index.asp 404 1405 1094
2018-05-03 23:46:14 POST /1.asp - 162.247.96.227 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/1.asp 404 1405 1086
