#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-09-05 12:13:45
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-09-05 12:13:45 GET / - 52.53.201.78 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_12_6)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.100+Safari/537.36 - 200 8794 218
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-09-06 06:05:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-09-06 06:05:36 GET / - 173.252.87.9 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 200 8794 345
2018-09-06 06:05:36 GET /css/contact-buttons.css - 173.252.87.4 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) http://ngateapizza.co.nz/ 404 1405 307
2018-09-06 06:05:36 GET /css/popuo-box.css - 173.252.87.4 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) http://ngateapizza.co.nz/ 200 1990 301
2018-09-06 06:05:36 GET /js/jquery.min.js - 173.252.87.9 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) http://ngateapizza.co.nz/ 200 42005 285
2018-09-06 06:05:36 GET /js/modernizr.custom.min.js - 173.252.87.4 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) http://ngateapizza.co.nz/ 200 1456 295
2018-09-06 06:05:36 GET /css/bootstrap.min.css - 173.252.87.9 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) http://ngateapizza.co.nz/ 200 23841 305
2018-09-06 06:05:36 GET /font-awesome/css/font-awesome.min.css - 173.252.87.10 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) http://ngateapizza.co.nz/ 200 4992 321
