#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-08-16 03:15:17
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-08-16 03:15:17 GET / - 35.167.166.25 HTTP/1.1 Mozilla/5.0+(compatible,+MSIE+11,+Windows+NT+6.3;+Trident/7.0;+rv:11.0)+like+Gecko - 200 8813 225
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-08-16 06:06:45
2017-08-16 06:06:46 GET /js/app.js - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 471 348
2017-08-16 06:06:46 GET /fonts/glyphicons-halflings-regular.woff - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/css/bootstrap.min.css 404 1405 433
2017-08-16 06:06:46 GET /fonts/PIZZAHUT-FONT.TTF - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 19512 396
2017-08-16 06:06:46 GET /images/icon2.png - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 1295 391
2017-08-16 06:06:46 GET /images/1.jpg - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 58300 387
2017-08-16 06:06:48 GET /fonts/glyphicons-halflings-regular.ttf - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/css/bootstrap.min.css 200 29775 432
2017-08-16 06:06:48 GET /images/icon1.png - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 1492 391
2017-08-16 06:06:48 GET /images/menu.png - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 18287 390
2017-08-16 06:06:48 GET /images/logo.png - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 96088 390
2017-08-16 06:06:48 GET /images/icon3.png - 118.148.126.176 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 http://ngateapizza.co.nz/ 200 1534 391
