2019-03-23 04:06:41 GET /js/jquery.magnific-popup.js - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 45995 370
2019-03-23 04:06:42 GET /anijs-min.js - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 355
2019-03-23 04:06:42 GET /images/1.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 58300 391
2019-03-23 04:06:42 GET /images/logo.png - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 96088 394
2019-03-23 04:06:42 GET /helpers/scrollreveal/anijs-helper-scrollreveal-min.js - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 396
2019-03-23 04:06:42 GET /js/bootstrap.min.js - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 29373 362
2019-03-23 04:06:43 GET /js/jquery.contact-buttons.js - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 371
2019-03-23 04:06:43 GET /js/jquery.backTop.min.js - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 742 367
2019-03-23 04:06:43 GET /js/demo.js - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 1619 353
2019-03-23 04:06:43 GET /fonts/glyphicons-halflings-regular.woff - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/css/bootstrap.min.css 404 1405 437
