#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-24 04:17:45 GET /helpers/scrollreveal/anijs-helper-scrollreveal-min.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 363
2019-06-24 04:17:46 GET /js/jquery.magnific-popup.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 18396 337
2019-06-24 04:17:46 GET /anijs-min.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 322
2019-06-24 04:17:46 GET /helpers/scrollreveal/anijs-helper-scrollreveal-min.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 363
2019-06-24 04:17:46 GET /js/jquery.contact-buttons.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 338
2019-06-24 04:17:46 GET /js/demo.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 1183 320
2019-06-24 04:17:46 GET /js/jquery.backTop.min.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 769 334
2019-06-24 04:17:46 GET /js/bootstrap.min.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 10255 329
2019-06-24 04:17:47 GET /images/1.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 58300 358
2019-06-24 04:17:47 GET /images/icon3.png - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 1534 362
