#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-27 10:48:58
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-27 10:48:58 GET / - 54.149.248.141 HTTP/1.1 Go-http-client/1.1 - 200 0 98
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-28 01:56:46
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-28 01:56:45 GET /robots.txt - 66.249.69.55 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 231
2019-05-28 01:56:46 GET / - 66.249.69.59 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8794 294
2019-05-28 01:56:50 GET /favicon.ico - 66.249.69.57 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 192
2019-05-28 02:04:30 GET /helpers/scrollreveal/anijs-helper-scrollreveal-min.js - 203.144.40.153 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64;+Trident/7.0;+rv:11.0)+like+Gecko http://ngateapizza.co.nz/ 404 1405 424
2019-05-28 02:04:30 GET /js/jquery.contact-buttons.js - 203.144.40.153 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64;+Trident/7.0;+rv:11.0)+like+Gecko http://ngateapizza.co.nz/ 404 1405 399
2019-05-28 02:04:31 GET / - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64;+Trident/7.0;+rv:11.0)+like+Gecko - 200 37853 197
2019-05-28 02:04:31 GET / - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64;+Trident/7.0;+rv:11.0)+like+Gecko - 200 37853 197
