#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-11 12:52:41
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-11 12:52:40 GET / - 52.32.211.41 HTTP/1.1 Go-http-client/1.1 - 200 0 98
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-11 23:43:48
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-11 23:43:48 GET /robots.txt - 66.249.79.93 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 231
2019-07-11 23:43:49 GET / - 66.249.79.93 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8794 555
2019-07-11 23:43:50 GET /css/contact-buttons.css - 66.249.79.93 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://ngateapizza.co.nz/ 404 1405 458
2019-07-11 23:43:52 GET /helpers/scrollreveal/anijs-helper-scrollreveal-min.js - 66.249.79.93 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://ngateapizza.co.nz/ 404 1405 473
2019-07-11 23:43:52 GET /anijs-min.js - 66.249.79.95 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://ngateapizza.co.nz/ 404 1405 432
2019-07-11 23:43:52 GET /js/jquery.contact-buttons.js - 66.249.79.93 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://ngateapizza.co.nz/ 404 1405 448
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-12 04:06:09
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-12 04:06:09 GET / - 66.249.79.141 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8794 294
2019-07-12 04:06:17 GET /css/style.css - 66.249.79.137 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://ngateapizza.co.nz/ 200 6262 374
2019-07-12 04:06:29 GET /css/contact-buttons.css - 66.249.79.137 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 384
2019-07-12 04:06:34 GET /js/jquery.contact-buttons.js - 66.249.79.137 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 374
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-12 05:18:09
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-12 05:18:09 GET /images/1.jpg - 116.251.135.5 HTTP/1.1 com.google.GoogleMobile/44.0.0+iPhone/12.3.1+hw/iPhone8_2 - 200 58300 219
2019-07-12 05:18:14 GET /images/logo.png - 116.251.135.5 HTTP/1.1 com.google.GoogleMobile/44.0.0+iPhone/12.3.1+hw/iPhone8_2 - 200 96088 222
2019-07-12 05:18:14 GET /images/s7.jpg - 116.251.135.5 HTTP/1.1 com.google.GoogleMobile/44.0.0+iPhone/12.3.1+hw/iPhone8_2 - 200 30366 220
2019-07-12 05:18:15 GET /images/s2.jpg - 116.251.135.5 HTTP/1.1 com.google.GoogleMobile/44.0.0+iPhone/12.3.1+hw/iPhone8_2 - 200 26686 220
2019-07-12 05:18:17 GET /images/s5.jpg - 116.251.135.5 HTTP/1.1 com.google.GoogleMobile/44.0.0+iPhone/12.3.1+hw/iPhone8_2 - 200 25942 220
2019-07-12 05:18:27 GET /images/3.jpg - 116.251.135.5 HTTP/1.1 com.google.GoogleMobile/44.0.0+iPhone/12.3.1+hw/iPhone8_2 - 200 1379212 219
