#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-01-03 11:39:37
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-01-03 11:39:37 GET / - 157.55.39.143 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 23397 278
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-01-03 22:19:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-01-03 22:19:23 GET / - 101.98.114.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/55.0.2883.87+Safari/537.36 - 200 7016 369
2017-01-03 22:19:23 GET /css/swipebox.css - 101.98.114.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/55.0.2883.87+Safari/537.36 http://crossroadsbar.co.nz/ 200 1525 337
2017-01-03 22:19:23 GET /css/bootstrap.css - 101.98.114.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/55.0.2883.87+Safari/537.36 http://crossroadsbar.co.nz/ 200 27109 338
2017-01-03 22:19:23 GET /css/iconeffects.css - 101.98.114.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/55.0.2883.87+Safari/537.36 http://crossroadsbar.co.nz/ 200 3470 340
2017-01-03 22:19:24 GET /css/style.css - 101.98.114.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/55.0.2883.87+Safari/537.36 http://crossroadsbar.co.nz/ 200 15962 334
2017-01-03 22:19:24 GET /css/animate.css - 101.98.114.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/55.0.2883.87+Safari/537.36 http://crossroadsbar.co.nz/ 200 8279 336
