#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-15 08:16:25
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-15 08:16:25 HEAD / - 188.165.200.217 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.01;+Windows+NT+5.0) - 200 249 124
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-15 09:56:08
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-15 09:56:07 GET /single.html - 46.229.168.66 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 214
2017-12-15 09:56:42 GET /index.html - 46.229.168.77 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 200 7048 213
2017-12-15 09:56:50 GET / - 46.229.168.77 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 200 5640 203
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-15 12:53:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-15 12:53:22 GET /robots.txt - 180.76.15.8 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 221
2017-12-15 12:53:22 GET /robots.txt - 180.76.15.148 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 221
2017-12-15 12:56:07 GET / - 180.76.15.26 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 23499 221
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-15 13:55:31
