#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-01 11:07:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-01 11:07:22 GET / - 180.76.15.139 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 7037 221
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-01 16:10:15
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-01 16:10:15 POST /wp-content/yt.php - 193.106.30.99 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+rv:34.0)+Gecko/20100101+Firefox/34.0 - 404 1405 308
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-01 22:07:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-01 22:07:17 GET / - 42.236.99.178 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://www.crossroadsbar.co.nz/ 200 7018 327
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-02 04:56:30
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-02 04:56:30 GET / - 34.224.27.243 HTTP/1.1 Mozilla/5.0+(compatible;+SurdotlyBot/1.0;++http://sur.ly/bot.html) - 200 7018 340
2018-07-02 04:56:30 GET / - 34.224.27.243 HTTP/1.1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/534.34+(KHTML,+like+Gecko)+Qt/4.8.2+Safari/534.34 - 200 5621 298
