#Software: Microsoft Internet Information Services 7.5
#Date: 2018-05-24 03:33:08
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-24 03:33:08 GET /cdn.fancybar.net/ac/fancybar6a2f.js - 207.241.231.33 HTTP/1.0 Mozilla/5.0+(compatible;+archive.org_bot++http://www.archive.org/details/archive.org_bot) http://crossroadsbar.co.nz/ 404 1424 359
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-24 04:23:25
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-24 04:23:25 GET /robots.txt - 207.241.232.45 HTTP/1.0 Mozilla/5.0+(compatible;+archive.org_bot++http://www.archive.org/details/archive.org_bot) - 404 1424 250
2018-05-24 04:23:30 GET /images/s4.jpg - 207.241.232.45 HTTP/1.0 Mozilla/5.0+(compatible;+archive.org_bot++http://www.archive.org/details/archive.org_bot) http://crossroadsbar.co.nz/ 200 882176 291
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-05-24 06:01:49
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-05-24 06:01:49 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 202
2018-05-24 06:01:53 GET /images/s4.jpg - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexImages/3.0;++http://yandex.com/bots) - 304 210 289
2018-05-24 06:08:19 GET /robots.txt - 207.241.232.43 HTTP/1.0 Mozilla/5.0+(compatible;+archive.org_bot++http://www.archive.org/details/archive.org_bot) - 404 1424 250
2018-05-24 06:08:24 GET /css/animate.css - 207.241.232.43 HTTP/1.0 Mozilla/5.0+(compatible;+archive.org_bot++http://www.archive.org/details/archive.org_bot) http://crossroadsbar.co.nz/ 200 72525 293
