#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-06 11:58:53
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-06 11:58:53 HEAD / - 188.165.200.217 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.01;+Windows+NT+5.0) - 200 249 128
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-06 14:39:30
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-06 14:39:30 GET /robots.txt - 46.229.164.99 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-06 17:23:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-06 17:23:54 GET /robots.txt - 46.229.164.102 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 209
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-06 21:31:21
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-06 21:31:21 GET /js/jquery-1.11.1.min.js - 180.76.15.147 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 43091 244
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-06 22:56:19
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-06 22:56:19 GET /robots.txt - 66.249.79.146 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
2017-12-06 22:56:19 GET /images/g8.jpg - 66.249.79.150 HTTP/1.1 Googlebot-Image/1.0 - 200 48224 200
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-07 00:40:31
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-07 00:40:31 GET / - 51.255.65.41 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - 200 7018 174
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-07 02:54:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-07 02:54:32 GET /robots.txt - 46.229.164.99 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-07 05:04:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-07 05:04:22 GET /robots.txt - 46.229.164.102 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 209
