#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-06 07:18:12
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-06 07:18:12 GET / - 5.144.130.13 HTTP/1.1 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US)+AppleWebKit/533.4+(KHTML,+like+Gecko)+Chrome/5.0.375.99+Safari/533.4 crossroadsbar.co.nz 200 23480 218
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-06 12:24:58
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-06 12:24:57 GET /robots.txt - 180.76.15.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 221
2019-02-06 12:25:52 GET / - 180.76.15.144 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 23499 221
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-06 23:26:16
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-06 23:26:16 GET /css/animate.css - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 72506 429
2019-02-06 23:26:16 GET /images/serve3.png - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 7307 431
2019-02-06 23:26:16 GET /images/serve2.png - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 4431 431
2019-02-06 23:26:18 GET /images/c2.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 30984 427
2019-02-06 23:26:18 GET /js/responsiveslides.min.js - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 3659 440
2019-02-06 23:26:18 GET /images/c1.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 33007 427
2019-02-06 23:26:19 GET /css/bootstrap.css - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 121515 431
2019-02-06 23:26:19 GET /images/g7.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 59529 427
2019-02-06 23:26:19 GET /images/c4.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 42204 427
2019-02-06 23:26:19 GET /images/serve4.png - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 4415 431
2019-02-06 23:26:19 GET /images/g1.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 48831 427
2019-02-06 23:26:19 GET /images/serve1.png - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 1714 431
2019-02-06 23:26:19 GET /js/jquery-1.11.1.min.js - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 96050 437
2019-02-06 23:26:20 GET /images/g8.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 48224 427
2019-02-06 23:26:21 GET /images/down.png - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 4972 429
2019-02-06 23:26:21 GET /css/style.css - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 62590 427
2019-02-06 23:26:21 GET /images/g2.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 64370 427
2019-02-06 23:26:23 GET /www.google-analytics.com/analytics.js - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 404 1405 451
2019-02-06 23:26:25 GET /images/fb.png - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 7384 427
2019-02-06 23:26:26 GET /images/move-top.png - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 3488 433
2019-02-06 23:26:26 GET /images/c3.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 39200 427
2019-02-06 23:26:26 GET /images/db.png - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 7998 427
2019-02-06 23:26:26 GET /images/tw.png - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 7323 427
2019-02-06 23:26:28 GET /images/gg.png - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 7753 427
2019-02-06 23:26:54 GET /images/banner.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 339923 431
2019-02-06 23:27:00 GET /images/s3.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 914588 427
