#Software: Microsoft Internet Information Services 7.5
2019-01-16 22:08:27 GET / - 42.236.12.150 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://www.crossroadsbar.co.nz/ 200 23480 327
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-01-17 00:07:04
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-01-17 00:07:03 GET /css/bootstrap.css - 180.76.15.144 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 121534 238
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-01-17 00:40:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-01-17 00:40:23 GET / - 180.76.15.16 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 23499 221
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-01-17 02:42:57
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-01-17 02:42:57 GET /fonts/ecoicons/ecoicon-2.html - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/iconeffects.css 200 651 617
2019-01-17 02:43:03 GET /fonts/ecoicons/ecoicon-3.html - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/iconeffects.css 200 650 617
2019-01-17 02:43:11 GET /fonts/ecoicons/ecoicon-4.html - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/iconeffects.css 200 650 617
2019-01-17 02:43:16 GET /fonts/PoiretOne-Regular.html - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 651 610
2019-01-17 02:43:22 GET /images/banner.jpg - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 339942 599
2019-01-17 02:43:29 GET /images/nav.png - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 3334 596
2019-01-17 02:43:34 GET /images/arrows.html - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 641 600
2019-01-17 02:43:40 GET /images/bottom.jpg - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 117992 599
2019-01-17 02:43:47 GET /images/reservation.jpg - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 127672 604
2019-01-17 02:43:52 GET /images/img-sprite.html - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 645 604
2019-01-17 02:43:58 GET /images/tw.png - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 7342 595
2019-01-17 02:44:00 GET /images/fb.png - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 7403 595
2019-01-17 02:44:08 GET /images/gg.png - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 7772 595
2019-01-17 02:44:15 GET /images/db.png - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 8017 595
2019-01-17 02:44:20 GET /images/move-top.png - 207.241.232.234 HTTP/1.0 Mozilla/5.0+(compatible;+NLNZ_IAHarvester2019/3.3.0++https://natlib.govt.nz/publishers-and-authors/web-harvesting/domain-harvest) http://crossroadsbar.co.nz/css/style.css 200 3507 601
