#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 07:35:58
2017-12-10 22:54:42 GET /js/menu.js - 207.46.13.162 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 1168 254
2017-12-10 22:54:54 GET /css/bootstrap.min.css - 157.55.39.242 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 27806 265
2017-12-10 22:54:54 GET /css/style.css - 157.55.39.242 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 5918 257
2017-12-10 22:54:54 GET /ionicons/css/ionicons.min.css - 157.55.39.242 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 10932 273
2017-12-10 22:55:08 GET /js/modernizr.js - 40.77.167.74 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 19903 259
2017-12-10 22:56:00 GET /img/logo.png - 40.77.167.145 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 22564 256
2017-12-10 22:56:02 GET /js/animated-headline.js - 40.77.167.145 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 2209 267
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 23:55:37
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 23:55:37 GET /ionicons/fonts/ionicons.ttf - 40.77.178.218 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/534++(KHTML,+like+Gecko)+BingPreview/1.0b http://www.palacehotel.co.nz/services.html 200 188773 283
2017-12-10 23:55:38 GET /img/01.jpg - 40.77.178.218 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/534++(KHTML,+like+Gecko)+BingPreview/1.0b http://www.palacehotel.co.nz/services.html 200 3652210 258
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-11 01:23:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-11 01:23:27 GET / - 220.181.51.110 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/45.0.2454.93+Safari/537.36 - 200 3395 342
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-11 04:58:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-11 04:58:03 GET /favicon.ico - 66.249.73.78 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 196
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-11 05:34:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-11 05:34:33 GET / - 66.249.73.78 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 3376 298
