#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-05 07:36:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-05 08:31:29 GET / - 113.65.71.163 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE8.0;+Windows+NT+6.0)+.NET+CLR+2.0.50727) - 200 3376 190
2018-08-05 08:31:38 GET /contact.html - 113.65.71.163 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE8.0;+Windows+NT+6.0)+.NET+CLR+2.0.50727) - 200 2565 202
2018-08-05 08:31:38 GET / - 113.65.71.163 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE8.0;+Windows+NT+6.0)+.NET+CLR+2.0.50727) - 200 2707 190
2018-08-05 08:31:38 GET /about.html - 113.65.71.163 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE8.0;+Windows+NT+6.0)+.NET+CLR+2.0.50727) - 200 2711 200
2018-08-05 08:31:42 GET /index.html - 113.65.71.163 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE8.0;+Windows+NT+6.0)+.NET+CLR+2.0.50727) - 200 2707 200
2018-08-05 08:31:42 GET /services.html - 113.65.71.163 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE8.0;+Windows+NT+6.0)+.NET+CLR+2.0.50727) - 200 2967 203
2018-08-05 08:31:49 GET /portfolio.html - 113.65.71.163 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE8.0;+Windows+NT+6.0)+.NET+CLR+2.0.50727) - 200 2704 204
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-05 09:38:01
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-05 09:38:01 GET /robots.txt - 108.59.8.70 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 404 1405 169
