#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-11-02 07:26:17
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-11-02 07:26:17 GET / - 54.198.254.189 HTTP/1.1 Mozilla/5.0+(Windows;+U;+Windows+NT+6.0;+en-US;+rv:1.9.2.3)+Gecko/20100401+Firefox/3.6.3+GTB6+(.NET+CLR+3.5.30729) - 200 13738 195
2016-11-02 07:39:48 GET /robots.txt - 178.154.189.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 187
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-11-02 09:22:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-11-02 09:22:34 GET /img/img3_1.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1125686 404
2016-11-02 09:22:34 GET /img/img7.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1155627 402
2016-11-02 09:22:34 GET /img/img9.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1089855 402
2016-11-02 09:22:34 GET /img/img8.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1146016 402
2016-11-02 09:22:34 GET /img/img10.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 1018686 403
2016-11-02 09:22:34 GET /img/bg.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 95902 400
2016-11-02 09:22:34 GET /ionicons/fonts/ionicons.ttf - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 188773 405
2016-11-02 09:22:35 GET /favicon.ico - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 - 404 1405 277
2016-11-02 09:26:02 GET /favicon.ico - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 - 404 1405 277
2016-11-02 09:26:17 GET /about.html - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/index.html 200 2711 387
