#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-09-25 07:45:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-09-25 07:45:28 GET / - 34.254.158.61 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.2;+WOW64)+AppleWebKit/537.15+(KHTML,+like+Gecko)+Chrome/24.0.1295.0+Safari/537.15 - 200 3376 209
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-09-25 08:28:24
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-09-25 08:28:24 GET /js/custom.js - 180.76.15.146 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 1210 235
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-09-25 09:44:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-09-25 09:44:36 GET / - 101.53.199.127 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36+Edge/15.15063 - 200 3376 358
2018-09-25 09:44:37 GET /css/bootstrap.min.css - 101.53.199.127 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36+Edge/15.15063 http://www.palacehotel.co.nz/ 200 27806 384
2018-09-25 09:44:37 GET /css/style.css - 101.53.199.127 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/52.0.2743.116+Safari/537.36+Edge/15.15063 http://www.palacehotel.co.nz/ 200 5918 376
