#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-05 10:13:36
2017-02-06 01:10:10 GET /assets/elfinder1/elfinder.html - 173.208.198.2 HTTP/1.1 - - 404 1405 90
2017-02-06 01:10:10 GET /place1/elfinder/elfinder.html - 173.208.198.2 HTTP/1.1 - - 404 1405 89
2017-02-06 01:10:10 GET /backup/elfinder/elfinder.html - 173.208.198.2 HTTP/1.1 - - 404 1405 89
2017-02-06 01:10:10 GET /erpfilemanager/elfinder.html - 173.208.198.2 HTTP/1.1 - - 404 1405 88
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-06 05:13:44
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-06 05:13:44 GET / - 122.59.95.5 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-T350+Build/MMB29M;+wv)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Version/4.0+Chrome/56.0.2924.87+Safari/537.36+[FB_IAB/FB4A;FBAV/109.0.0.15.71;] http://m.facebook.com/ 200 818 518
2017-02-06 05:13:44 GET /favicon.ico - 122.59.95.5 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-T350+Build/MMB29M;+wv)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Version/4.0+Chrome/56.0.2924.87+Safari/537.36+[FB_IAB/FB4A;FBAV/109.0.0.15.71;] http://www.ngateahotel.co.nz/ 404 1405 460
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-02-06 06:23:00
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-02-06 06:23:00 GET /robots.txt - 66.249.79.178 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 231
2017-02-06 06:23:00 GET /webapps/i/89914/230892/352474 - 66.249.79.175 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 327
2017-02-06 06:23:15 GET /robots.txt - 46.229.164.99 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 211
2017-02-06 06:28:05 GET /webapps/i/89914/230892/378901 - 66.249.79.175 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 327
