#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 07:44:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 07:44:54 GET / - 112.5.243.150 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 https://www.blog4u.top/how-to-generate-traffic-to-your-website-fast/68646325/ 200 13729 413
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 08:08:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 08:08:49 GET /js/jquery.nicescroll.min.js - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21445 375
2018-10-20 08:08:49 GET /images/events/event-4.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 409
2018-10-20 08:08:49 GET /images/events/event-3.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 598125 409
2018-10-20 08:08:49 GET /images/events/event-1.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 409
2018-10-20 08:08:49 GET /css/bootstrap/fonts/glyphicons-halflings-regular.ttf - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 200 29775 473
2018-10-20 08:08:50 GET /images/bkgs/home-bkg.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 275939 408
2018-10-20 08:08:50 GET /images/events/event-2.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 595360 409
2018-10-20 08:08:50 GET /images/team/member-1.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 593475 408
2018-10-20 08:08:51 GET /images/team/member-3.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 587295 408
2018-10-20 08:08:51 GET /images/gallery/gallery-1.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16100 412
