#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-13 10:08:59
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-13 10:08:59 GET / - 191.96.241.202 HTTP/1.1 Go-http-client/1.1 - 200 103142 122
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-13 15:11:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-13 15:11:46 GET / - 202.36.76.21 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+rv:49.0)+Gecko/20100101+Firefox/49.0+-+nzsearch.co.nz - 200 13729 303
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-13 17:39:45
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-13 17:39:45 GET / - 185.234.219.246 HTTP/1.0 Opera/9.80+(Windows+NT+6.1)+Presto/2.12.388+Version/12.16 http://ngateahotel.co.nz/ 200 103161 253
2019-08-13 17:39:52 POST /include/reservation-process.php - 185.234.219.246 HTTP/1.0 Opera/9.80+(Windows+NT+6.1)+Presto/2.12.388+Version/12.16 http://ngateahotel.co.nz/ 200 305 1652
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-13 19:20:14
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-13 19:20:14 GET / - 173.252.79.5 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-13 22:12:42
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
