#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-03 07:37:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-03 07:37:22 GET / - 23.237.4.26 HTTP/1.1 Mozilla/5.0+(compatible;+AlphaBot/3.2;++http://alphaseobot.com/bot.html) - 200 103142 172
2018-11-03 07:51:24 GET /images/gallery/gallery-2.jpg - 66.249.82.75 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:11.0)+Gecko+Firefox/11.0+(via+ggpht.com+GoogleImageProxy) - 200 16758 236
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-03 08:17:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-03 08:17:56 GET /js/jquery.form.min.js - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5510 395
2018-11-03 08:17:57 GET /js/jquery.nicescroll.min.js - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21445 401
2018-11-03 08:17:57 GET /images/blog/blog-1.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14403 432
2018-11-03 08:17:57 GET /images/events/event-4.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 435
2018-11-03 08:17:58 GET /images/events/event-1.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 435
2018-11-03 08:17:58 GET /images/events/event-2.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 595360 435
2018-11-03 08:17:58 GET /images/bkgs/home-bkg.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 275939 434
2018-11-03 08:17:58 GET /images/team/member-1.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 593475 434
2018-11-03 08:17:58 GET /images/team/member-2.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 594701 434
2018-11-03 08:17:58 GET /images/events/event-3.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 598125 435
2018-11-03 08:18:02 GET /css/bootstrap/fonts/glyphicons-halflings-regular.ttf - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 200 29775 499
2018-11-03 08:18:02 GET /images/gallery/gallery-1.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16100 438
2018-11-03 08:18:02 GET /images/gallery/gallery-2.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16758 438
2018-11-03 08:18:02 GET /images/team/member-3.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 587295 434
2018-11-03 08:18:02 GET /images/gallery/gallery-3.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14699 438
2018-11-03 08:18:02 GET /images/gallery/gallery-4.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14402 438
2018-11-03 08:18:02 GET /images/gallery/gallery-5.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 18116 438
2018-11-03 08:18:02 GET /images/gallery/gallery-6.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 20196 438
2018-11-03 08:18:02 GET /images/bkgs/section-bkg.jpg - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 130166 437
2018-11-03 08:18:02 GET /images/toggle-plus.png - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1206 441
2018-11-03 08:18:04 GET /images/icon-facebook.png - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1874 443
2018-11-03 08:18:04 GET /images/toggle-minus.png - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1196 442
2018-11-03 08:18:04 GET /images/flexslider-arrows.png - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1827 447
2018-11-03 08:18:05 GET /images/favicon.ico - 49.224.243.104 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 404 1405 428
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-03 08:50:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-03 08:50:27 GET /images/favicon.ico - 49.224.246.70 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SAMSUNG+SM-J200Y+Build/LMY47X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/7.4+Chrome/59.0.3071.125+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 404 1405 428
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-03 09:43:57
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-03 09:43:57 GET /robots.txt - 157.55.39.18 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 250
2018-11-03 09:43:58 GET / - 157.55.39.249 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 13729 272
2018-11-03 09:50:23 GET / - 64.233.173.155 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.google.com/ 200 103142 609
2018-11-03 09:50:24 GET /css/colors.css - 64.233.173.154 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 10501 533
