#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 08:41:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 08:41:22 GET / - 52.11.76.238 HTTP/1.1 Go-http-client/1.1 - 200 13729 98
2019-08-22 09:24:08 GET /images/gallery/gallery-5.jpg - 111.206.221.8 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider-render/2.0;++http://www.baidu.com/search/spider.html) http://www.ngateahotel.co.nz/ 200 18116 446
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 10:34:42
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:42 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:43 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:43 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:43 HEAD / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 249 477
2019-08-22 10:34:44 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:45 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:45 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:45 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:46 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:46 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:46 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:46 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:46 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:46 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:46 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:49 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:49 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:50 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:34:53 GET / - 196.52.60.34 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/43.0.2376.69+Safari/537.36 http://ngateahotel.co.nz 200 103142 476
2019-08-22 10:40:50 GET /wp-login.php - 128.199.134.25 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:62.0)+Gecko/20100101+Firefox/62.0 - 404 1424 187
2019-08-22 10:53:45 GET / - 173.252.95.13 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 103212 221
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 12:00:41
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 12:00:40 GET /robots.txt - 66.249.79.179 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 235
2019-08-22 12:00:40 GET /images/gallery/gallery-5.jpg - 66.249.79.183 HTTP/1.1 Googlebot-Image/1.0 - 304 211 263
2019-08-22 12:00:42 GET /images/events/event-4.jpg - 66.249.79.181 HTTP/1.1 Googlebot-Image/1.0 - 304 211 260
2019-08-22 12:02:04 GET /images/team/member-3.jpg - 66.249.79.179 HTTP/1.1 Googlebot-Image/1.0 - 304 211 259
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 12:58:12
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 12:58:12 GET /wp-admin/ - 199.16.128.45 HTTP/1.1 - - 404 1424 71
2019-08-22 13:04:14 GET /test/wp-admin/ - 68.169.54.33 HTTP/1.1 - - 404 1424 76
2019-08-22 13:10:12 GET /wordpress/wp-admin/ - 184.168.200.63 HTTP/1.1 - - 404 1424 81
2019-08-22 13:16:12 GET /blog/wp-admin/ - 79.170.44.90 HTTP/1.1 - - 404 1424 76
2019-08-22 13:22:07 GET /wp/wp-admin/ - 104.236.24.167 HTTP/1.1 - - 404 1424 74
2019-08-22 13:28:01 GET /old/wp-admin/ - 5.77.47.72 HTTP/1.1 - - 404 1424 75
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 15:01:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 15:01:32 GET /robots.txt - 66.249.79.92 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 231
2019-08-22 15:01:33 GET / - 66.249.79.88 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 13729 555
2019-08-22 15:01:38 GET /robots.txt - 54.162.102.36 HTTP/1.1 MixnodeCache/1.8(+https://cache.mixnode.com/) - 404 1405 266
2019-08-22 15:01:39 GET /ads.txt - 54.162.102.36 HTTP/1.1 MixnodeCache/1.8(+https://cache.mixnode.com/) - 404 1405 263
2019-08-22 15:03:17 GET /robots.txt - 54.162.102.36 HTTP/1.1 MixnodeCache/1.8(+https://cache.mixnode.com/) - 404 1405 262
2019-08-22 15:03:17 GET /ads.txt - 54.162.102.36 HTTP/1.1 MixnodeCache/1.8(+https://cache.mixnode.com/) - 404 1405 259
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 16:18:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 16:18:36 GET / - 5.188.211.21 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1) - 200 103161 208
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 17:20:11
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
