#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-19 08:43:23 GET /js/init.js - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1800 366
2018-06-19 08:43:23 GET /js/contactform.js - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1385 373
2018-06-19 08:43:23 GET /js/jquery.nicescroll.min.js - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21445 383
2018-06-19 08:43:23 GET /images/events/event-4.jpg - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 417
2018-06-19 08:43:26 GET /images/events/event-1.jpg - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 417
2018-06-19 08:43:26 GET /images/team/member-2.jpg - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/ 200 594701 416
2018-06-19 08:43:26 GET /images/events/event-2.jpg - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/ 200 595360 417
2018-06-19 08:43:26 GET /images/events/event-3.jpg - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/ 200 598125 417
2018-06-19 08:43:27 GET /css/bootstrap/fonts/glyphicons-halflings-regular.woff - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 404 1405 482
2018-06-19 08:43:27 GET /images/gallery/gallery-2.jpg - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16758 420
2018-06-19 08:43:27 GET /images/gallery/gallery-3.jpg - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14699 420
2018-06-19 08:43:27 GET /css/bootstrap/fonts/glyphicons-halflings-regular.ttf - 121.99.112.143 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.4.4;+SM-T113+Build/KTU84P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 200 29775 481
