#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-28 07:39:17
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-28 07:39:17 GET / - 180.76.15.151 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 837 223
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-28 23:03:38
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-28 23:03:38 GET /app/etc/local.xml - 162.144.149.17 HTTP/1.1 Microsoft+Internet+Explorer/4.0b1+(Windows+95) - 404 1405 171
2017-06-28 23:03:38 GET /magmi/web/download_file.php - 162.144.149.17 HTTP/1.1 Microsoft+Internet+Explorer/4.0b1+(Windows+95) - 404 1405 205
2017-06-28 23:03:39 GET /web/download_file.php - 162.144.149.17 HTTP/1.1 Microsoft+Internet+Explorer/4.0b1+(Windows+95) - 404 1405 199
2017-06-28 23:03:40 GET /admin/Cms_Wysiwyg/directive/ - 162.144.149.17 HTTP/1.1 Microsoft+Internet+Explorer/4.0b1+(Windows+95) - 404 1405 1121
2017-06-28 23:03:40 GET /admin/Cms_Wysiwyg/directive/ - 162.144.149.17 HTTP/1.1 Microsoft+Internet+Explorer/4.0b1+(Windows+95) - 404 1405 1121
2017-06-28 23:03:42 GET /admin/Cms_Wysiwyg/directive/ - 162.144.149.17 HTTP/1.1 Microsoft+Internet+Explorer/4.0b1+(Windows+95) - 404 1405 1121
2017-06-28 23:03:42 GET /admin/Cms_Wysiwyg/directive/ - 162.144.149.17 HTTP/1.1 Microsoft+Internet+Explorer/4.0b1+(Windows+95) - 404 1405 1121
2017-06-28 23:03:52 GET /downloader/ - 162.144.149.17 HTTP/1.1 Microsoft+Internet+Explorer/4.0b1+(Windows+95) - 404 1405 165
2017-06-28 23:03:53 GET /api/xmlrpc - 162.144.149.17 HTTP/1.1 Microsoft+Internet+Explorer/4.0b1+(Windows+95) - 404 1405 164
