#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-14 07:32:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-14 07:32:33 GET / - 178.159.127.39 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.170+Safari/537.36+OPR/53.0.2907.68 - 200 0 338
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-14 08:39:09
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-14 08:39:09 GET /robots.txt - 66.249.79.183 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 235
2019-07-14 08:39:25 GET /webapps/i/89914/230892/401766 - 66.249.79.181 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 588
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-14 09:22:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-14 09:22:46 GET / - 36.69.83.142 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - 200 13729 330
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-14 09:58:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-14 12:04:57 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8007 395
2019-07-14 12:04:57 GET /js/jquery.form.min.js - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5510 377
2019-07-14 12:04:57 GET /js/contactform.js - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1385 373
2019-07-14 12:04:57 GET /js/init.js - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1800 366
2019-07-14 12:04:57 GET /css/bootstrap/fonts/glyphicons-halflings-regular.woff - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 404 1405 482
2019-07-14 12:04:57 GET /js/jquery.nicescroll.min.js - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21445 383
2019-07-14 12:04:58 GET /css/bootstrap/fonts/glyphicons-halflings-regular.ttf - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 200 29775 481
2019-07-14 12:04:58 GET /images/events/event-4.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 417
2019-07-14 12:04:59 GET /images/bkgs/home-bkg.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 275939 416
2019-07-14 12:04:59 GET /images/team/member-3.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 587295 416
